species	max_age	min_age	lat	lon	family	mean_age	source	kingdom	citation
Aphelops	15.97	13.6	42.700001	-100.0	Rhinocerotidae	14.785	pbdb	Animalia	M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains 
Aphelops	15.97	13.6	42.799999	-100.800003	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.700001	-100.0	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.700001	-100.0	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	41.299999	-105.099998	Rhinocerotidae	18.2	pbdb	Animalia	M. Cassiliano. 1980. Stratigraphy and vertebrate paleontology of the Horse Creek-Trail Creek area, Laramie County, Wyoming. Contributions to Geology, University of Wyoming 19(1):25-58
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	36.099998	-120.400002	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	34.799999	-117.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	35.5	-106.199997	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	35.267776	-119.306114	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero, M. R. Liter, and L. G. Barnes, X. Wang, E. Mitchell, S. McLeod, D. P. Whistler, R. H. Tedford, C. Ray. 2008. Land mammals from the middle Miocene Sharktooth Hill Bonebed, Kern County, California. New Mexico Museum of Natural History and Science Bulletin 44:299-314
Aphelops	13.6	10.3	43.200001	-100.699997	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.633331	-100.050003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	36.5	-107.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	42.700001	-100.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	40.799999	-104.199997	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Baiomys	4.9	1.8	42.799999	-114.900002	Cricetidae	3.35	pbdb	Animalia	R. J. Zakrzewski. 1969. Contributions from the Museum of Paleontology, University of Michigan 23(1)
Baiomys	4.9	1.8	42.799999	-114.900002	Cricetidae	3.35	pbdb	Animalia	R. J. Zakrzewski. 1969. Contributions from the Museum of Paleontology, University of Michigan 23(1)
Baiomys	4.9	1.8	42.799999	-114.900002	Cricetidae	3.35	pbdb	Animalia	R. J. Zakrzewski. 1969. Contributions from the Museum of Paleontology, University of Michigan 23(1)
Baiomys	4.9	1.8	28.9	-108.0	Cricetidae	3.35	pbdb	Animalia	E. H. Lindsay and L. L. Jacobs. 1985. Pliocene small mammal fossils from Chihuahua, Mexico. Paleontologia Mexicana 51:1-53
Baiomys	4.9	1.8	37.200001	-100.300003	Cricetidae	3.35	pbdb	Animalia	C. W. Hibbard. 1952. A Contribution to the Rexroad Fauna. Transactions of the Kansas Academy of Sciences 55(2):196-208
Baiomys	4.9	1.8	33.900002	-117.0	Cricetidae	3.35	pbdb	Animalia	L. B. Albright. 1999. University of California Publications in Geological Sciences 144:1-121
Baiomys	4.9	1.8	37.099998	-100.900002	Cricetidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Baiomys	4.9	1.8	32.716667	-100.916664	Cricetidae	3.35	pbdb	Animalia	W. W. Dalquest. 1978. Early Blancan mammals of the Beck Ranch local fauna of Texas. Journal of Mammalogy 59(2):269-298
Baiomys	4.9	1.8	37.200001	-100.300003	Cricetidae	3.35	pbdb	Animalia	C. W. Hibbard. 1941. New Mammals from the Rexroad Fauna, Upper Pliocene of Kansas. American Midland Naturalist 26(2):337-368
Bassariscus	20.43	15.97	42.400002	-103.800003	Procyonidae	18.2	pbdb	Animalia	J. A. Baskin. 2004. Bassariscus and Probassariscus (Mammalia, Carnivora, Procyonidae) from the early Barstovian (Middle Miocene). Journal of Vertebrate Paleontology 24(3):709-720
Bassariscus	15.97	13.6	49.200001	-106.199997	Procyonidae	14.785	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	15.97	13.6	42.783333	-100.033333	Procyonidae	14.785	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	15.97	13.6	38.25	-117.900002	Procyonidae	14.785	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	15.97	13.6	42.083332	-103.800003	Procyonidae	14.785	pbdb	Animalia	J. A. Baskin. 2004. Bassariscus and Probassariscus (Mammalia, Carnivora, Procyonidae) from the early Barstovian (Middle Miocene). Journal of Vertebrate Paleontology 24(3):709-720
Bassariscus	15.97	13.6	40.0238	-98.5271	Procyonidae	14.785	pbdb	Animalia	M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains 
Bassariscus	20.43	15.97	42.400002	-103.800003	Procyonidae	18.2	pbdb	Animalia	J. A. Baskin. 2004. Bassariscus and Probassariscus (Mammalia, Carnivora, Procyonidae) from the early Barstovian (Middle Miocene). Journal of Vertebrate Paleontology 24(3):709-720
Bassariscus	15.97	13.6	49.200001	-106.199997	Procyonidae	14.785	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	15.97	13.6	42.806099	-100.050499	Procyonidae	14.785	pbdb	Animalia	M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains 
Bassariscus	15.97	13.6	41.099998	-117.800003	Procyonidae	14.785	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	15.97	13.6	49.200001	-106.199997	Procyonidae	14.785	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	15.97	13.6	42.799999	-100.800003	Procyonidae	14.785	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	13.6	10.3	35.299999	-118.5	Procyonidae	11.95	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Bassariscus	15.97	13.6	42.799999	-100.800003	Procyonidae	14.785	pbdb	Animalia	M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains 
Bassariscus	0.126	0.0117	32.349998	-104.783333	Procyonidae	0.06885	pbdb	Animalia	C. B. Schultz and E. B. Howard. 1935. The fauna of Burnet Cave, Guadalupe Mountains, New Mexico. Proceedings of the Academy of Natural Sciences of Philadelphia 87:273-298
Bassariscus	0.126	0.0	32.549999	-110.650002	Procyonidae	0.063	pbdb	Animalia	J. I. Mead, E. L. Roth, and T. R. Van Devender, D. W. Steadman. 1984. The Late Wisconsinan vertebrate fauna from Deadman Cave, southern Arizona. Transactions of the San Diego Society of Natural History 20(14):247-276
Bassariscus	0.0117	0.0	31.183332	-104.199997	Procyonidae	0.00585	pbdb	Animalia	W. W. Dalquest and F. B. Stangl, Jr. 1984. Late Pleistocene and early Recent mammals from Fowlkes Cave, southern Culberson County, Texas. Carnegie Museum of Natural History Special Publication 8:432-455
Bassariscus	0.0117	0.0	35.233334	-114.366669	Procyonidae	0.00585	pbdb	Animalia	C. N. Jass. 2004. Mid to late Holocene mammals from Bighorn Cave, Arizona. The Southwestern Naturalist 49(1):75-82
Bassariscus	1.8	0.012	33.599998	-117.800003	Procyonidae	0.906	pbdb	Animalia	G. T. Jefferson. 1991. A catalogue of late Quaternary vertebrates from California. Part two, mammals. Natural History Museum of Los Angeles County Technical Report 7:1-129
Bassariscus	0.126	0.0117	31.566668	-108.400002	Procyonidae	0.06885	pbdb	Animalia	A. H. Harris. 1990. Taxonomic status of the Pleistocene ringtail Bassariscus sonoitensis (Carnivora). Southwestern Naturalist 35(3):343-346
Bassariscus	0.0117	0.0	35.233334	-114.366669	Procyonidae	0.00585	pbdb	Animalia	C. N. Jass. 2002. Preliminary taphonomic analyses of the mammalian microfauna. Pp. 179-190 in Bighorn Cave: Test Excavations of a Stratified Dry Shelter Mohave County, Arizona (P. R. Geib, and D. R. Keller, eds.). Bilby Research Center Occasional Papers 1 (Northern Arizona University, Flagstaff, Arizona). 
