index	Latitude	Longitude	Age.Max	Age.Min	Openness	mean_age	age_bin	paleolat	paleolon
1017	43.17	-101.66	13.6	10.3	Open	11.95	12	43.64	-99.02
1019	43.12	-101.75	13.6	10.3	Open	11.95	12	43.59	-99.11
1023	43.12	-102	13.6	10.3	Open	11.95	12	43.59	-99.37
1024	43.08	-102	13.6	10.3	Open	11.95	12	43.55	-99.37
1027	43.08	-99.8	13.6	10.3	Open	11.95	12	43.53	-97.15
1028	43.06	-99.8	13.6	10.3	Open	11.95	12	43.51	-97.15
1032	43.12	-101.7	13.6	10.3	Open	11.95	12	43.59	-99.06
1034	43.12	-101.8	13.6	10.3	Open	11.95	12	43.59	-99.16
1036	42.8	-100	13.6	10.3	Open	11.95	12	43.25	-97.36
1038	42.8	-99.8	13.6	10.3	Open	11.95	12	43.25	-97.16
1039	42.73	-99.75	13.6	10.3	Open	11.95	12	43.18	-97.11
1040	42.8	-100.05	13.6	10.3	Open	11.95	12	43.25	-97.41
1042	42.98	-100.9	13.6	10.3	Open	11.95	12	43.44	-98.26
1043	43.2	-101.33	13.6	10.3	Open	11.95	12	43.67	-98.69
1044	42.85	-100.5	13.6	10.3	Open	11.95	12	43.31	-97.86
1045	42.81	-101.75	13.6	10.3	Open	11.95	12	43.28	-99.12
1047	42.87	-101.45	13.6	10.3	Open	11.95	12	43.34	-98.82
1048	42.67	-99.75	13.6	10.3	Open	11.95	12	43.12	-97.11
1049	42.72	-99.75	13.6	10.3	Open	11.95	12	43.17	-97.11
1050	42.68	-100.83	13.6	10.3	Open	11.95	12	43.14	-98.2
1053	42.81	-100.9	13.6	10.3	Open	11.95	12	43.27	-98.26
1054	42.67	-100.83	13.6	10.3	Open	11.95	12	43.13	-98.2
1056	42.67	-100.85	13.6	10.3	Open	11.95	12	43.13	-98.22
1057	42.81	-101.09	13.6	10.3	Open	11.95	12	43.27	-98.46
1058	43.25	-99.4	13.6	10.3	Open	11.95	12	43.7	-96.74
1059	42.9	-100.55	13.6	10.3	Open	11.95	12	43.36	-97.91
1060	42.65	-99.78	13.6	10.3	Open	11.95	12	43.1	-97.14
1061	42.55	-99.73	13.6	10.3	Open	11.95	12	43	-97.09
1062	64	-148.5	23	16	Closed	19.5	20	65.36	-144.77
1064	63.86	-149.02	23	11.6	Closed	17.3	17	65	-145.9
1067	64	-148.5	16	11.6	Closed	13.8	14	64.91	-145.92
1068	64	-148.5	8.5	7.7	Closed	8.1	8	64.49	-147.04
1072	33.78	-118.261	16.3	10.3	Open	13.3	13	33.13	-114.18
1109	44.97	-117.52	16	11.6	Closed	13.8	14	44.87	-112.83
1115	39.4	-100.93	7	6	Open	6.5	6	39.64	-99.64
1116	54.023	-131.794	6.6	5.3	Closed	5.95	6	54.36	-130.59
1118	31.847	-91.656	8.68	8.68	Closed	8.68	9	32.13	-89.77
1122	44.7956666666667	-113.244777777778	21.5710042378119	21.5710042378119	Open	21.5710042378119	22	45.57	-107.89
1123	44.7956666666667	-113.244777777778	21.4994732469136	21.4994732469136	Open	21.4994732469136	21	45.55	-108.17
1124	44.7956666666667	-113.244777777778	21.3139353332455	21.3139353332455	Open	21.3139353332455	21	45.55	-108.17
1125	44.7956666666667	-113.244777777778	20.9786223283083	20.9786223283083	Open	20.9786223283083	21	45.55	-108.17
1126	44.8093611111111	-113.271722222222	20.7272895620407	20.7272895620407	Open	20.7272895620407	21	45.57	-108.2
1127	44.8104166666667	-113.258166666667	19.4403223895053	19.4403223895053	Open	19.4403223895053	19	45.5	-108.71
1128	44.8104166666667	-113.258166666667	19.4075511639554	19.4075511639554	Open	19.4075511639554	19	45.5	-108.71
1129	44.8104166666667	-113.258166666667	19.3565573340517	19.3565573340517	Open	19.3565573340517	19	45.5	-108.71
1130	44.8109166666667	-113.259388888889	18.927170944499	18.927170944499	Open	18.927170944499	19	45.51	-108.71
1131	44.8028611111111	-113.245583333333	18.8390580183014	18.8390580183014	Open	18.8390580183014	19	45.5	-108.69
1132	44.8028611111111	-113.245583333333	18.7203056549496	18.7203056549496	Open	18.7203056549496	19	45.5	-108.69
1133	44.8028611111111	-113.245583333333	18.4544735216791	18.4544735216791	Open	18.4544735216791	18	45.46	-108.93
1134	44.8102222222222	-113.250944444444	17.7560482463436	17.7560482463436	Open	17.7560482463436	18	45.47	-108.94
1135	44.8050277777778	-113.240194444444	17.7238646065546	17.7238646065546	Open	17.7238646065546	18	45.46	-108.93
1136	44.8050277777778	-113.240194444444	17.6368366905209	17.6368366905209	Open	17.6368366905209	18	45.46	-108.93
1137	44.8050277777778	-113.240194444444	17.3102895686757	17.3102895686757	Open	17.3102895686757	17	45.43	-109.17
1138	44.8050277777778	-113.240194444444	17.2408719745079	17.2408719745079	Open	17.2408719745079	17	45.43	-109.17
1139	44.8081111111111	-113.231166666667	16.8267306054488	16.8267306054488	Open	16.8267306054488	17	45.43	-109.16
1140	44.8081111111111	-113.231166666667	16.6191963536326	16.6191963536326	Open	16.6191963536326	17	45.43	-109.16
1141	44.8081111111111	-113.231166666667	16.2201456345985	16.2201456345985	Open	16.2201456345985	16	45.39	-109.4
1142	44.8081111111111	-113.231166666667	16.1546157511934	16.1546157511934	Open	16.1546157511934	16	45.39	-109.4
1143	44.8081111111111	-113.231166666667	16.066300756823	16.066300756823	Open	16.066300756823	16	45.39	-109.4
1144	44.8077777777778	-113.230055555556	16.0576814988329	16.0576814988329	Open	16.0576814988329	16	45.39	-109.4
1145	44.8077777777778	-113.230055555556	15.986159208603	15.986159208603	Open	15.986159208603	16	45.39	-109.4
1146	44.8077777777778	-113.230055555556	15.6799672782573	15.6799672782573	Open	15.6799672782573	16	45.39	-109.4
1148	45.7929444444444	-111.463555555556	10.42	9.58	Open	10	10	46.25	-109.29
1186	45.4358055555556	-112.445583333333	5.66	5.2	Open	5.43	5	45.68	-111.37
1204	45.4358333333333	-112.445138888889	5.66	5.2	Open	5.43	5	45.68	-111.37
1212	45.04075	-112.255083333333	10.2	8.9	Open	9.55	10	45.51	-110.1
1213	34.31478	-117.469842	17	17	Open	17	17	33.5	-112.18
1214	34.31478	-117.469842	16.8	16.8	Open	16.8	17	33.5	-112.18
1215	34.31478	-117.469842	16.6	16.6	Open	16.6	17	33.5	-112.18
1216	34.31478	-117.469842	16.2	16.2	Open	16.2	16	33.55	-112.49
1217	34.31478	-117.469842	16.3	16.3	Open	16.3	16	33.55	-112.49
1218	34.31478	-117.469842	15.95	15.95	Open	15.95	16	33.55	-112.49
1219	34.31478	-117.469842	15.4	15.4	Open	15.4	15	33.59	-112.79
1220	34.31478	-117.469842	15.3	15.3	Open	15.3	15	33.59	-112.79
1221	34.297939	-117.467096	16.2	16.2	Open	16.2	16	33.53	-112.49
1222	34.297939	-117.467096	15.5	15.5	Open	15.5	16	33.53	-112.49
1223	34.297939	-117.467096	14.95	14.95	Open	14.95	15	33.57	-112.79
1224	34.297939	-117.467096	14.9	14.9	Open	14.9	15	33.57	-112.79
1225	34.297939	-117.467096	13.6	13.6	Open	13.6	14	33.62	-113.1
1226	34.321863	-117.491704	15.65	15.65	Open	15.65	16	33.55	-112.51
1227	34.321863	-117.491704	15.5	15.5	Open	15.5	16	33.55	-112.51
1228	34.321863	-117.491704	15.3	15.3	Open	15.3	15	33.6	-112.82
1229	34.321863	-117.491704	14.4	14.4	Open	14.4	14	33.64	-113.12
1230	34.321863	-117.491704	14.2	14.2	Open	14.2	14	33.64	-113.12
1231	35.061	-117.103	13.04	13.04	Open	13.04	13	35.73	-114.52
1232	35.061	-117.103	13.05	13.05	Open	13.05	13	35.73	-114.52
1233	35.061	-117.103	13.06	13.06	Open	13.06	13	35.73	-114.52
1234	35.061	-117.103	13.07	13.07	Closed	13.07	13	35.73	-114.52
1235	35.04878	-117.075257	13.697	13.697	Open	13.697	14	35.77	-114.3
1239	35.022	-117.024	14.8	14.8	Closed	14.8	15	35.8	-114.06
1240	35.025	-117.048	15.89	15.89	Closed	15.89	16	35.86	-113.89
