x	y	veg	x_albers	y_albers
-111.25	75.25	1	-729120	5424360
-110.75	75.25	1	-705410	5420586
-110.25	75.25	1	-681680	5416937
-109.75	75.25	1	-657932	5413413
-109.25	75.25	1	-634165	5410014
-108.75	75.25	1	-610381	5406740
-108.25	75.25	1	-586580	5403592
-107.75	75.25	1	-562763	5400568
-107.25	75.25	1	-538930	5397670
-106.75	75.25	1	-515082	5394897
-106.25	75.25	1	-491220	5392250
-100.25	75.25	1	-204004	5370296
-99.75	75.25	1	-180017	5369286
-99.25	75.25	1	-156025	5368402
-98.75	75.25	1	-132028	5367644
-98.25	75.25	1	-108028	5367012
-95.75	75.25	1	12004	5365749
-95.25	75.25	1	36012	5365875
-94.75	75.25	1	60019	5366128
-94.25	75.25	1	84025	5366507
-92.25	75.25	1	180017	5369286
-91.75	75.25	1	204004	5370296
-91.25	75.25	1	227986	5371432
-90.75	75.25	1	251961	5372695
-90.25	75.25	1	275929	5374083
-89.75	75.25	1	299890	5375598
-89.25	75.25	1	323842	5377239
-88.75	75.25	1	347785	5379006
-88.25	75.25	1	371719	5380899
-87.75	75.25	1	395642	5382917
-87.25	75.25	1	419555	5385062
-86.75	75.25	1	443456	5387332
-86.25	75.25	1	467344	5389728
-85.75	75.25	1	491220	5392250
-85.25	75.25	1	515082	5394897
-84.75	75.25	1	538930	5397670
-84.25	75.25	1	562763	5400568
-83.75	75.25	1	586580	5403592
-83.25	75.25	1	610381	5406740
-82.75	75.25	1	634165	5410014
-82.25	75.25	1	657932	5413413
-81.75	75.25	1	681680	5416937
-81.25	75.25	1	705410	5420586
-80.75	75.25	1	729120	5424360
-80.25	75.25	1	752810	5428259
-57.75	75.25	1	1787459	5730388
-57.25	75.25	1	1809524	5739850
-56.75	75.25	1	1831539	5749428
-56.25	75.25	1	1853503	5759123
-55.75	75.25	1	1875416	5768932
-55.25	75.25	1	1897277	5778857
-54.75	75.25	1	1919086	5788896
-54.25	75.25	1	1940841	5799050
-53.75	75.25	1	1962543	5809319
-53.25	75.25	1	1984190	5819702
-52.75	75.25	1	2005783	5830198
-52.25	75.25	1	2027320	5840808
-113.25	74.75	1	-829793	5407782
-112.75	74.75	1	-805995	5403478
-112.25	74.75	1	-782174	5399300
-111.75	74.75	1	-758331	5395248
-111.25	74.75	1	-734468	5391321
-95.25	74.75	1	36276	5332407
-94.75	74.75	1	60460	5332662
-94.25	74.75	1	84641	5333043
-90.75	74.75	1	253809	5339276
-90.25	74.75	1	277953	5340675
-89.75	74.75	1	302089	5342201
-89.25	74.75	1	326217	5343854
-88.25	74.75	1	374445	5347541
-87.75	74.75	1	398544	5349574
-87.25	74.75	1	422632	5351734
-86.75	74.75	1	446708	5354021
-86.25	74.75	1	470772	5356435
-85.75	74.75	1	494823	5358975
-85.25	74.75	1	518860	5361642
-84.75	74.75	1	542883	5364435
-84.25	74.75	1	566890	5367354
-83.75	74.75	1	590882	5370400
-82.75	74.75	1	638817	5376870
-82.25	74.75	1	662757	5380294
-81.75	74.75	1	686680	5383844
-81.25	74.75	1	710584	5387519
-80.75	74.75	1	734468	5391321
-56.75	74.75	1	1844973	5718773
-56.25	74.75	1	1867098	5728538
-55.75	74.75	1	1889172	5738420
-55.25	74.75	1	1911193	5748417
-54.75	74.75	1	1933162	5758531
-54.25	74.75	1	1955077	5768759
-53.75	74.75	1	1976937	5779103
-53.25	74.75	1	1998744	5789562
-52.75	74.75	1	2020494	5800135
-52.25	74.75	1	2042189	5810823
-124.25	74.25	1	-1356440	5501070
-123.75	74.25	1	-1333125	5493995
-123.25	74.25	1	-1309773	5487042
-122.75	74.25	1	-1286384	5480213
-122.25	74.25	1	-1262960	5473506
-121.75	74.25	1	-1239502	5466923
-121.25	74.25	1	-1216008	5460463
-120.75	74.25	1	-1192482	5454128
-120.25	74.25	1	-1168922	5447915
-55.75	74.25	1	1903270	5707149
-55.25	74.25	1	1925455	5717221
-54.75	74.25	1	1947588	5727409
-54.25	74.25	1	1969666	5737714
-53.75	74.25	1	1991690	5748135
-53.25	74.25	1	2013659	5758672
-52.75	74.25	1	2035572	5769324
-52.25	74.25	1	2057429	5780092
-123.75	73.75	1	-1343233	5460367
-123.25	73.75	1	-1319704	5453362
-122.75	73.75	1	-1296138	5446481
-122.25	73.75	1	-1272537	5439723
-121.75	73.75	1	-1248900	5433090
-121.25	73.75	1	-1225229	5426582
-120.75	73.75	1	-1201524	5420198
-120.25	73.75	1	-1177785	5413938
-119.75	73.75	1	-1154014	5407804
-119.25	73.75	1	-1130211	5401795
-118.75	73.75	1	-1106377	5395911
-118.25	73.75	1	-1082512	5390153
-117.75	73.75	1	-1058617	5384521
-117.25	73.75	1	-1034693	5379014
-116.75	73.75	1	-1010740	5373633
-116.25	73.75	1	-986759	5368378
-100.25	73.75	1	-208604	5267513
-94.75	73.75	1	61373	5263251
-94.25	73.75	1	85919	5263639
-93.75	73.75	1	110464	5264155
-93.25	73.75	1	135005	5264801
-92.75	73.75	1	159543	5265576
-92.25	73.75	1	184076	5266480
-91.75	73.75	1	208604	5267513
-91.25	73.75	1	233126	5268675
-90.75	73.75	1	257642	5269966
-86.25	73.75	1	477881	5287383
-55.75	73.75	1	1917701	5675137
-55.25	73.75	1	1940055	5685286
-54.75	73.75	1	1962355	5695552
-54.25	73.75	1	1984601	5705935
-53.75	73.75	1	2006792	5716435
-53.25	73.75	1	2028928	5727051
-52.75	73.75	1	2051007	5737784
-52.25	73.75	1	2073029	5748633
-124.25	73.25	1	-1377241	5433166
-123.75	73.25	1	-1353569	5425982
-123.25	73.25	1	-1329859	5418923
-122.75	73.25	1	-1306112	5411989
-122.25	73.25	1	-1282329	5405179
-121.75	73.25	1	-1258510	5398495
-121.25	73.25	1	-1234657	5391937
-120.75	73.25	1	-1210769	5385504
-120.25	73.25	1	-1186848	5379196
-119.75	73.25	1	-1162894	5373015
-119.25	73.25	1	-1138908	5366960
-118.75	73.25	1	-1114890	5361031
-118.25	73.25	1	-1090842	5355228
-117.75	73.25	1	-1066763	5349552
-117.25	73.25	1	-1042655	5344003
-116.75	73.25	1	-1018518	5338581
-115.25	73.25	1	-945940	5323077
-105.75	73.25	1	-481559	5251667
-105.25	73.25	1	-456943	5249199
-100.25	73.25	1	-210209	5231644
-99.75	73.25	1	-185492	5230603
-99.25	73.25	1	-160770	5229692
-98.75	73.25	1	-136044	5228911
-98.25	73.25	1	-111314	5228261
-95.25	73.25	1	37108	5227089
-94.75	73.25	1	61845	5227350
-94.25	73.25	1	86581	5227740
-93.75	73.25	1	111314	5228261
-93.25	73.25	1	136044	5228911
-92.75	73.25	1	160770	5229692
-92.25	73.25	1	185492	5230603
-91.75	73.25	1	210209	5231644
-88.75	73.25	1	358363	5240619
-88.25	73.25	1	383025	5242569
-87.75	73.25	1	407676	5244649
-87.25	73.25	1	432316	5246859
-86.75	73.25	1	456943	5249199
-84.25	73.25	1	579879	5262837
-83.75	73.25	1	604421	5265952
-83.25	73.25	1	628946	5269197
-82.75	73.25	1	653453	5272571
