index	Latitude	Longitude	Age.Max	Age.Min	mean_age	age_bin	paleolat	paleolon	Openness	x_albers	y_albers	x_paleo_albers	y_paleo_albers
332	45.9	-114.2	15.8	11	13.4	13	46.36	-111.11	Open	-1405340	2680742	-1160883	2689281
333	42.76	-103.53	29	29	29	29	43.62	-96.93	Closed	-612091	2220149	-74735	2292294
334	42.3	-103.68	28.4	28.4	28.4	28	43.16	-97.36	Closed	-628409	2169871	-110023	2241361
335	42.65	-104.77	28.4	28.4	28.4	28	43.55	-98.44	Closed	-713754	2216551	-196261	2286636
336	42.75	-103.93	28.1	28.1	28.1	28	43.62	-97.59	Closed	-644625	2221680	-127769	2292997
337	42.75	-103.93	27.9	27.9	27.9	28	43.62	-97.59	Closed	-644625	2221680	-127769	2292997
338	42.75	-103.93	26.2	26.2	26.2	26	43.62	-98.09	Closed	-644625	2221680	-167942	2293775
339	42.75	-103.93	26	26	26	26	43.62	-98.09	Closed	-644625	2221680	-167942	2293775
340	42.75	-103.93	25.9	25.9	25.9	26	43.62	-98.09	Open	-644625	2221680	-167942	2293775
341	42.03	-103.88	26.5	26.5	26.5	26	42.9	-98.08	Closed	-647237	2141118	-168898	2213379
342	42.72	-103.01	25	25	25	25	43.56	-97.41	Closed	-570231	2212458	-113405	2286073
343	42.69	-103.93	20	20	20	20	43.51	-99.61	Open	-645184	2214998	-290501	2285170
344	42.69	-103.93	19.8	19.8	19.8	20	43.51	-99.61	Open	-645184	2214998	-290501	2285170
345	42.69	-103.93	19.5	19.5	19.5	20	43.51	-99.61	Open	-645184	2214998	-290501	2285170
346	42.43	-103.46	24	24	24	24	43.28	-98.14	Open	-609305	2182928	-172814	2255920
347	41.7	-103.72	19.2	19.2	19.2	19	42.48	-99.64	Open	-637121	2103240	-297320	2170285
348	42.42	-103.76	19.1	19.1	19.1	19	43.2	-99.66	Open	-633846	2183775	-295856	2250739
349	42.67	-104.02	19.1	19.1	19.1	19	43.45	-99.91	Open	-652678	2213385	-314905	2279433
350	42.43	-103.46	19.1	19.1	19.1	19	43.2	-99.35	Open	-609305	2182928	-270808	2249815
351	42.34	-104.06	19.1	19.1	19.1	19	43.12	-99.96	Open	-659050	2176902	-320465	2242784
352	42.34	-104.06	18.9	18.9	18.9	19	43.12	-99.96	Open	-659050	2176902	-320465	2242784
353	42.42	-103.76	18.9	18.9	18.9	19	43.2	-99.66	Open	-633846	2183775	-295856	2250739
354	42.6	-104.01	18.9	18.9	18.9	19	43.38	-99.91	Open	-652524	2205521	-315227	2271625
355	42.81	-101.77	19.1	19.1	19.1	19	43.55	-97.63	Open	-468890	2215713	-131117	2285240
356	42.43	-103.37	18.5	18.5	18.5	18	43.16	-99.48	Open	-601969	2182354	-281476	2245728
357	42.48	-103.04	18.1	18.1	18.1	18	43.2	-99.14	Open	-574652	2185885	-253838	2249235
358	42.77	-102.02	18.1	18.1	18.1	18	43.48	-98.1	Open	-489462	2212512	-169091	2278171
360	42.56	-102.59	17.5	17.5	17.5	18	43.28	-98.68	Open	-537361	2192173	-216410	2257026
361	42.44	-103.07	17	17	17	17	43.13	-99.39	Open	-577429	2181607	-274319	2242117
363	42.17	-103.72	16.5	16.5	16.5	16	42.83	-100.27	Open	-632854	2155646	-346991	2211506
364	42.17	-103.72	16.1	16.1	16.1	16	42.83	-100.27	Open	-632854	2155646	-346991	2211506
365	42.64	-102.8	16.5	16.5	16.5	16	43.28	-99.33	Open	-553817	2202298	-268879	2258686
366	42.17	-103.72	15.6	15.6	15.6	16	42.83	-100.27	Open	-632854	2155646	-346991	2211506
368	42.69	-102.85	15	15	15	15	43.29	-99.59	Open	-557480	2208164	-289820	2260566
369	42.8	-100.5	11.8	11.8	11.8	12	43.26	-97.86	Open	-365826	2209020	-150249	2253212
370	42.73	-99.82	11.4	11.4	11.4	11	43.14	-97.39	Open	-310892	2198784	-112482	2239163
371	42.75	-100.82	10.8	10.8	10.8	11	43.17	-98.4	Open	-392102	2204715	-194116	2244142
372	42.71	-99.94	9.5	9.5	9.5	10	43.08	-97.73	Open	-320746	2196949	-140115	2232914
373	42.91	-100.27	9	9	9	9	43.26	-98.28	Open	-346589	2220435	-184171	2253951
374	35.99	-106.03	15.8	15.8	15.8	16	36.68	-102.75	Closed	-894528	1484867	-597128	1536118
375	35.99	-106.03	14	13.5	13.75	14	36.59	-103.15	Closed	-894528	1484867	-633206	1528652
377	42.8164657	-97.8619576	5.5	5	5.25	5	43	-96.75	Open	-151378	2203680	-60817	2222942
380	41.5239548	-103.7732699	7	5	6	6	41.77	-102.48	Open	-643117	2083963	-534425	2103408
381	41.5239548	-103.7732699	9	5	7	7	41.81	-102.26	Open	-643117	2083963	-516014	2106658
382	41.1777746	-103.6247423	9	5	7	7	41.47	-102.11	Open	-633961	2044341	-506111	2067883
383	42.8244219	-100.0224186	10	9	9.5	10	43.2	-97.81	Open	-326910	2210005	-146338	2246435
384	41.2649071	-102.1317116	10.8	9.5	10.15	10	41.66	-99.95	Open	-509387	2045089	-326439	2079657
