index	Latitude	Longitude	Age Max	Age Min	ID	Openness	mean_age
304	31.088	-93.059	13.0	11.5	2705	Closed	12.25
305	53.085	-122.599	11.6	5.3	2749	Closed	8.45
306	44.715	-118.171	11.3	5.3	2751	Closed	8.3
307	44.715	-118.171	11.6	5.3	2752	Closed	8.45
308	69.33	-135.75	3.6	2.6	2784	Closed	3.1
309	69.33	-135.75	5.3	2.6	2785	Closed	3.95
310	69.33	-135.75	23.0	11.6	2786	Open	17.3
311	40.93	-104.8	23.5	19.2	2810	Closed	21.35
312	40.78	-104.03	18.7	18.7	2811	Closed	18.7
313	40.78	-104.03	18.7	18.7	2812	Open	18.7
314	40.99	-103.92	18.7	17.2	2813	Open	17.95
315	40.89	-103.94	14.4	14.4	2814	Open	14.4
316	40.89	-103.94	14.1	14.1	2815	Open	14.1
317	40.89	-103.94	14.4	14.1	2816	Closed	14.25
318	40.78	-104.03	13.3	13.3	2817	Open	13.3
319	40.74	-103.89	11.5	11.5	2818	Closed	11.5
320	46.71	-110.98	27.5	27.5	2819	Closed	27.5
321	46.71	-113.06	27.5	27.5	2820	Open	27.5
322	46.01	-111.92	27.5	20.8	2821	Closed	24.15
323	45.99	-111.85	19.0	19.0	2822	Closed	19.0
324	44.78	-113.26	23.0	19.0	2823	Closed	21.0
325	44.79	-113.25	17.2	17.2	2824	Open	17.2
326	44.79	-113.25	16.7	16.7	2825	Open	16.7
327	44.79	-113.25	16.3	16.3	2826	Open	16.3
328	44.8	-113.25	15.2	15.2	2827	Open	15.2
329	44.8	-113.25	15.1	15.1	2828	Open	15.1
330	44.93	-112.55	15.8	15.8	2829	Open	15.8
331	45.75	-111.43	15.3	13.0	2830	Closed	14.15
332	45.9	-114.2	15.8	11.0	2831	Open	13.4
333	42.76	-103.53	29.0	29.0	2833	Closed	29.0
334	42.3	-103.68	28.4	28.4	2834	Closed	28.4
335	42.65	-104.77	28.4	28.4	2835	Closed	28.4
336	42.75	-103.93	28.1	28.1	2836	Closed	28.1
337	42.75	-103.93	27.9	27.9	2837	Closed	27.9
338	42.75	-103.93	26.2	26.2	2838	Closed	26.2
339	42.75	-103.93	26.0	26.0	2839	Closed	26.0
340	42.75	-103.93	25.9	25.9	2840	Open	25.9
341	42.03	-103.88	26.5	26.5	2841	Closed	26.5
342	42.72	-103.01	25.0	25.0	2842	Closed	25.0
343	42.69	-103.93	20.0	20.0	2843	Open	20.0
344	42.69	-103.93	19.8	19.8	2844	Open	19.8
345	42.69	-103.93	19.5	19.5	2845	Open	19.5
346	42.43	-103.46	24.0	24.0	2846	Open	24.0
347	41.7	-103.72	19.2	19.2	2847	Open	19.2
348	42.42	-103.76	19.1	19.1	2848	Open	19.1
349	42.67	-104.02	19.1	19.1	2849	Open	19.1
350	42.43	-103.46	19.1	19.1	2850	Open	19.1
351	42.34	-104.06	19.1	19.1	2851	Open	19.1
