	0.0	0.0042	0.0082	0.0117	0.0126	0.773	1.8	2.58	3.6	5.333	7.246	11.63	13.82	15.97	20.44	23.03	27.82	33.9
Downsimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Drepanomeryx	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Dromomeryx	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Dyseohyus	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Ebenaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Ectopocynus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Edaphocyon	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Ekgmowechashala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Elomeryx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Enhydra	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Enhydritherium	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
Enhydrocyon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Entoptychus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Eocoileus	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Eomellivora	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Epicyon	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
Epigaulus	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Epiycon	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Eporeodon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Eptesicus	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Equus	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Eremotherium	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Erethizon	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Ericaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Eubelodon	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Eucastor	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
Euceratherium	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
