lon	lat	age	label	paleolon	paleolat	x_albers	y_albers
-113.25816666666701	44.8104166666667	19.3565573340517	1	-108.71	45.5	-1355317	2548023
-113.259388888889	44.8109166666667	18.927170944499	1	-108.71	45.51	-1355401	2548095
-113.245583333333	44.8028611111111	18.454473521679105	1	-108.93	45.46	-1354491	2547016
-113.250944444444	44.8102222222222	17.7560482463436	1	-108.94	45.47	-1354760	2547898
-113.24019444444401	44.805027777777795	17.636836690520898	1	-108.93	45.46	-1354029	2547176
-113.23116666666701	44.808111111111096	16.8267306054488	1	-109.16	45.43	-1353266	2547385
-113.23005555555599	44.80777777777779	16.0576814988329	1	-109.4	45.39	-1353186	2547333
-113.23005555555599	44.80777777777779	15.679967278257301	1	-109.4	45.39	-1353186	2547333
-111.463555555556	45.7929444444444	10.0	1	-109.29	46.25	-1198003	2631556
-112.44558333333299	45.4358055555556	5.43	1	-111.37	45.68	-1280178	2605236
-112.445138888889	45.4358333333333	5.43	1	-111.37	45.68	-1280143	2605233
-112.25508333333299	45.04075	9.55	1	-110.1	45.51	-1272973	2559390
-117.469842	34.31478	16.6	1	-112.18	33.5	-1944067	1470703
-117.469842	34.31478	15.4	1	-112.79	33.59	-1944067	1470703
-117.467096	34.297939	16.2	1	-112.49	33.53	-1944244	1468811
-117.467096	34.297939	15.5	1	-112.49	33.53	-1944244	1468811
-117.467096	34.297939	13.6	1	-113.1	33.62	-1944244	1468811
-117.491704	34.321863	15.3	1	-112.82	33.6	-1945835	1471922
-117.103	35.061	13.07	0	-114.52	35.73	-1893021	1544675
-117.075257	35.04878	13.697	1	-114.3	35.77	-1890874	1542789
-117.024	35.022	14.8	0	-114.06	35.8	-1887008	1538847
-117.048	35.025	15.89	0	-113.89	35.86	-1889053	1539652
