lng	lat	avg_age	paleolng	paleolat	x_present_albers	y_present_albers
-67.25	77.25	23	-56.25	76.98	1322247	5692404
-66.75	77.25	23	-55.76	76.96	1344519	5699419
-66.25	77.25	23	-55.28	76.95	1366753	5706551
-65.75	77.25	23	-54.79	76.94	1388949	5713801
-65.25	77.25	23	-54.31	76.92	1411107	5721167
-64.75	77.25	23	-53.83	76.91	1433226	5728649
-64.25	77.25	23	-53.34	76.89	1455305	5736248
-63.75	77.25	23	-52.86	76.88	1477344	5743963
-63.25	77.25	23	-52.38	76.86	1499342	5751793
-62.75	77.25	23	-51.9	76.85	1521298	5759740
-62.25	77.25	23	-51.42	76.84	1543212	5767801
-61.75	77.25	23	-50.94	76.82	1565084	5775978
-61.25	77.25	23	-50.46	76.81	1586912	5784270
-60.75	77.25	23	-49.98	76.79	1608697	5792677
-60.25	77.25	23	-49.5	76.78	1630436	5801198
-59.75	77.25	23	-49.02	76.77	1652131	5809833
-59.25	77.25	23	-48.54	76.75	1673780	5818583
-58.75	77.25	23	-48.06	76.74	1695383	5827446
-58.25	77.25	23	-47.59	76.73	1716938	5836422
-57.75	77.25	23	-47.11	76.71	1738447	5845512
-57.25	77.25	23	-46.63	76.7	1759907	5854715
-56.75	77.25	23	-46.16	76.68	1781318	5864031
-56.25	77.25	23	-45.68	76.67	1802680	5873459
-55.75	77.25	23	-45.21	76.66	1823992	5883000
-55.25	77.25	23	-44.73	76.64	1845254	5892653
-54.75	77.25	23	-44.26	76.63	1866464	5902417
-54.25	77.25	23	-43.79	76.62	1887623	5912293
-53.75	77.25	23	-43.31	76.6	1908730	5922279
-53.25	77.25	23	-42.84	76.59	1929784	5932377
-52.75	77.25	23	-42.37	76.58	1950784	5942586
-52.25	77.25	23	-41.9	76.56	1971730	5952905
-120.25	76.75	23	-111.19	77.94	-1127786	5605608
-119.75	76.75	23	-110.65	77.93	-1105024	5599735
-119.25	76.75	23	-110.1	77.92	-1082232	5593981
-118.75	76.75	23	-109.56	77.91	-1059409	5588347
-117.75	76.75	23	-108.47	77.88	-1013677	5577440
-117.25	76.75	23	-107.93	77.87	-990768	5572167
-116.75	76.75	23	-107.39	77.86	-967832	5567014
-116.25	76.75	23	-106.84	77.85	-944870	5561982
-114.25	76.75	23	-104.68	77.8	-852763	5543066
-113.75	76.75	23	-104.14	77.79	-829676	5538640
-109.25	76.75	23	-99.32	77.68	-620935	5504289
-108.75	76.75	23	-98.78	77.67	-597647	5501083
-96.75	76.75	23	-86.16	77.34	-35261	5461071
-96.25	76.75	23	-85.64	77.33	-11754	5460947
-95.75	76.75	23	-85.12	77.31	11754	5460947
-95.25	76.75	23	-84.6	77.3	35261	5461071
-94.75	76.75	23	-84.09	77.28	58767	5461318
-94.25	76.75	23	-83.57	77.27	82272	5461689
-93.75	76.75	23	-83.05	77.26	105774	5462184
-93.25	76.75	23	-82.54	77.24	129274	5462802
-90.25	76.75	23	-79.46	77.16	270173	5469108
-89.75	76.75	23	-78.95	77.14	293633	5470591
-89.25	76.75	23	-78.44	77.13	317086	5472197
-88.75	76.75	23	-77.93	77.11	340530	5473927
-88.25	76.75	23	-77.42	77.1	363964	5475781
-87.75	76.75	23	-76.91	77.08	387388	5477757
-87.25	76.75	23	-76.4	77.07	410802	5479857
-86.75	76.75	23	-75.89	77.05	434204	5482080
-86.25	76.75	23	-75.39	77.04	457594	5484426
-85.75	76.75	23	-74.88	77.02	480972	5486895
-85.25	76.75	23	-74.37	77.01	504336	5489487
-84.75	76.75	23	-73.87	76.99	527687	5492202
-84.25	76.75	23	-73.36	76.98	551022	5495040
-83.75	76.75	23	-72.86	76.97	574343	5498000
-83.25	76.75	23	-72.36	76.95	597647	5501083
-82.75	76.75	23	-71.85	76.94	620935	5504289
-82.25	76.75	23	-71.35	76.92	644206	5507617
-81.75	76.75	23	-70.85	76.91	667459	5511068
-81.25	76.75	23	-70.35	76.89	690693	5514640
-80.75	76.75	23	-69.85	76.88	713909	5518336
-80.25	76.75	23	-69.35	76.86	737104	5522153
-79.75	76.75	23	-68.85	76.85	760279	5526092
-79.25	76.75	23	-68.35	76.83	783434	5530153
-78.75	76.75	23	-67.85	76.82	806566	5534336
-78.25	76.75	23	-67.35	76.8	829676	5538640
-69.25	76.75	23	-58.48	76.54	1241115	5636769
-68.75	76.75	23	-57.99	76.53	1263680	5643358
-68.25	76.75	23	-57.5	76.51	1286210	5650066
-67.75	76.75	23	-57.01	76.5	1308705	5656893
-67.25	76.75	23	-56.53	76.48	1331163	5663837
-66.75	76.75	23	-56.04	76.47	1353585	5670900
-66.25	76.75	23	-55.55	76.45	1375969	5678080
-65.75	76.75	23	-55.07	76.44	1398315	5685379
-65.25	76.75	23	-54.58	76.43	1420622	5692794
-64.75	76.75	23	-54.1	76.41	1442890	5700327
